element,sp_num,obs_wl_vac(mcm),unc_obs_wl,ritz_wl_vac(mcm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ti,1,"=""2.220450""","=""0.000006""","=""2.2204483""","=""0.0000025""","=""2""","=""""",,"=""3.9214575""","=""4.4798321""","=""3d3.(4F).4p""","=""w 3G*""","=""5""","=""3d4""","=""b 3G""","=""4""",,"=""""","=""L10989""",
Ti,1,"=""2.221729""","=""0.000006""","=""2.2217280""","=""0.0000025""","=""380""","=""7.50e+04""",B,"=""1.7335189""","=""2.2915719""","=""3d3.(4P).4s""","=""a 5P""","=""1""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5D*""","=""1""",,"=""T8000""","=""L10989""",
Ti,1,"=""2.223890""","=""0.000006""","=""2.2238911""","=""0.0000020""","=""470""","=""5.60e+04""",B,"=""1.7393044""","=""2.2968146""","=""3d3.(4P).4s""","=""a 5P""","=""2""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5D*""","=""2""",,"=""T8000""","=""L10989""",
Fe,1,"=""2.224213""","=""0.000004""","=""2.2242126""","=""0.0000011""","=""19""","=""""",,"=""5.70661711""","=""6.26404671""","=""3d6.(3H).4s.4p.(3P*)""","=""z 3I*""","=""6""","=""3d6.(5D).4s (6D).4d""","=""e 5G""","=""6""",,"=""""","=""L11631""",
Fe,1,"=""2.224511""","=""0.000004""","=""2.2245110""","=""0.0000007""","=""8""","=""""",,"=""5.38520741""","=""5.94256226""","=""3d6.(5D).4s (6D).5s""","=""e 7D""","=""3""","=""3d6.(3G).4s.4p.(3P*)""","=""v 5F*""","=""4""",,"=""""","=""L11631""",
Ti,1,"=""2.226152""","=""0.000006""","=""2.226156""","=""0.000003""","=""2""","=""""",,"=""5.27308384""","=""5.8300268""","=""3d2.4s.(4F).4d""","=""3H""","=""6""","=""3d3.(2F).4p""","=""3G*""","=""5""",,"=""""","=""L10989""",
Fe,1,"=""2.2263180""","=""0.0000015""","=""2.2263182""","=""0.0000007""","=""1510""","=""""",,"=""5.06378173""","=""5.62068415""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""3""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""2""",,"=""""","=""L11631""",
Fe,1,"=""2.2266253""","=""0.0000015""","=""2.2266255""","=""0.0000007""","=""810""","=""""",,"=""5.08559017""","=""5.64241573""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""2""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""1""",,"=""""","=""L11631""",
Ti,1,"=""2.228011""","=""0.000006""","=""2.2280086""","=""0.0000020""","=""360""","=""3.10e+04""",B,"=""1.7488757""","=""2.3053556""","=""3d3.(4P).4s""","=""a 5P""","=""3""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5D*""","=""3""",,"=""T8000""","=""L10989""",
Ti,1,"=""2.228901""","=""0.000006""","=""2.228906""","=""0.000003""","=""2""","=""""",,"=""4.6896723""","=""5.2459282""","=""3d2.4s.(4F).5s""","=""e 3F""","=""4""","=""3d.4s2.4p""","=""q 3D*""","=""3""",,"=""""","=""L10989""",
Ti,1,"=""2.231667""","=""0.000006""","=""2.231670""","=""0.000004""","=""170""","=""""",,"=""1.7335189""","=""2.2890858""","=""3d3.(4P).4s""","=""a 5P""","=""1""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5D*""","=""0""",,"=""""","=""L10989""",
Fe,1,"=""2.2350543""","=""0.0000015""","=""2.2350544""","=""0.0000007""","=""47""","=""""",,"=""5.72027099""","=""6.27499663""","=""3d7.(4P).4p""","=""w 5P*""","=""3""","=""3d6.(5D).4s (6D).4d""","=""e 7P""","=""3""",,"=""""","=""L11631""",
Ti,1,"=""2.235507""","=""0.000005""","=""2.2355042""","=""0.0000011""","=""10""","=""""",,"=""5.41024129""","=""5.96485531""","=""3d3.(4F).4d""","=""5G""","=""3""","=""3d2.4s.(4F<5/2>).4f""","=""2[3/2]*""","=""2""",,"=""""","=""L12119""",
Ti,1,"=""2.236549""","=""0.000006""","=""2.236549""","=""0.000003""","=""1""","=""""",,"=""4.9328258""","=""5.4871808""","=""3d3.(4F).5s""","=""f 3F""","=""4""","=""3d2.4s.(4F).5p""","=""3G*""","=""4""",,"=""""","=""L10989""",
Fe,1,"=""2.2371789""","=""0.0000015""","=""2.2371790""","=""0.0000007""","=""24""","=""""",,"=""4.98504395""","=""5.53924278""","=""3d5.(6S).4s2.4p""","=""y 7P*""","=""3""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""4""",,"=""""","=""L11631""",
Ti,1,"=""2.237190""","=""0.000006""","=""2.237191""","=""0.000003""","=""2""","=""""",,"=""5.25297410""","=""5.8071699""","=""3d2.4s.(4F).4d""","=""3H""","=""5""","=""3d3.(2F).4p""","=""3G*""","=""4""",,"=""""","=""L10989""",
Fe,1,"=""2.238129""","=""0.000010""","=""2.2381284""","=""0.0000007""","=""51bl""","=""""",,"=""5.84412959""","=""6.39809335""","=""3d7.(4P).4p""","=""w 3D*""","=""2""","=""3d6.(5D).4s (6D).4d""","=""f 5F""","=""3""",,"=""""","=""L11631""",
Fe,1,"=""2.2386904""","=""0.0000015""","=""2.2386905""","=""0.0000007""","=""2630""","=""6.53e+05""",C+,"=""5.03306811""","=""5.58689276""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""4""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""3""",,"=""T5720""","=""L11631""",
Ti,1,"=""2.238941""","=""0.000006""","=""2.238949""","=""0.000004""","=""1""","=""""",,"=""5.1150277""","=""5.6687885""","=""3d3.(2H).4p""","=""3G*""","=""4""","=""3d2.4s.(2F).4d""","=""f 3H""","=""4""",,"=""""","=""L10989""",
Fe,1,"=""2.2391215""","=""0.0000015""","=""2.2391211""","=""0.0000007""","=""170""","=""""",,"=""5.32039963""","=""5.87411777""","=""3d6.(3H).4s.4p.(3P*)""","=""y 5G*""","=""5""","=""3d7.(4F).5s""","=""e 5F""","=""4""",,"=""""","=""L11631""",
Ti,1,"=""2.239211""","=""0.000006""","=""2.2392089""","=""0.0000020""","=""2""","=""""",,"=""1.87316703""","=""2.4268635""","=""3d3.(2G).4s""","=""a 3G""","=""3""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3F*""","=""4""",,"=""""","=""L10989""",
Fe,1,"=""2.2398979""","=""0.0000015""","=""2.2398990""","=""0.0000007""","=""417""","=""""",,"=""5.09954435""","=""5.65307019""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""1""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""0""",,"=""""","=""L11631""",
